2.09267,2.09267,,2.03029,2.03029
2.03251,2.03251,,2.08993,2.08993
2.18358,2.18358,,2.59284,2.59284
2.07969,2.07969,,2.05723,2.05723
2.06562,2.06562,,2.07307,2.07307
2.06272,2.06272,,2.05789,2.05789
2.05874,2.05874,,2.06118,2.06118
2.06612,2.06612,,2.05817,2.05817
2.06603,2.06603,,2.10322,2.10322
2.05728,2.05728,,2.05037,2.05037
2.03286,2.03286,,2.04668,2.04668
2.03501,2.03501,,2.032,2.032
2.04265,2.04265,,2.04117,2.04117
2.25937,2.25937,,2.06372,2.06372
2.29928,2.29928,,2.07758,2.07758
2.09063,2.09063,,2.06046,2.06046
2.03711,2.03711,,2.06791,2.06791
2.19938,2.19938,,2.51495,2.51495
2.33847,2.33847,,2.07472,2.07472
2.0691,2.0691,,2.05657,2.05657
2.01823,2.01823,,2.06719,2.06719
2.07469,2.07469,,2.06899,2.06899
2.05459,2.05459,,2.06288,2.06288
2.02509,2.02509,,2.03798,2.03798
2.03126,2.03126,,2.04204,2.04204
2.04453,2.04453,,2.05972,2.05972
2.30629,2.30629,,2.28417,2.28417
2.17634,2.17634,,2.09854,2.09854
2.08754,2.08754,,2.12456,2.12456
2.11949,2.11949,,2.11742,2.11742
2.16427,2.16427,,2.12908,2.12908
2.10249,2.10249,,2.13268,2.13268
2.11774,2.11774,,2.31993,2.31993
2.31045,2.31045,,2.43125,2.43125
2.14152,2.14152,,2.35627,2.35627
2.09564,2.09564,,2.1131,2.1131
2.08519,2.08519,,2.0883,2.0883
2.11051,2.11051,,2.11233,2.11233
2.10459,2.10459,,2.06247,2.06247
2.11643,2.11643,,2.09871,2.09871
2.10211,2.10211,,2.21283,2.21283
2.09824,2.09824,,2.08672,2.08672
2.13383,2.13383,,2.13163,2.13163
2.10795,2.10795,,2.05848,2.05848
2.04823,2.04823,,2.06881,2.06881
2.07304,2.07304,,2.04794,2.04794
2.09168,2.09168,,2.03401,2.03401
2.04513,2.04513,,2.08623,2.08623
2.06003,2.06003,,2.05365,2.05365
2.05278,2.05278,,2.08966,2.08966
2.11613,2.11613,,2.06343,2.06343
2.02201,2.02201,,2.04893,2.04893
2.04243,2.04243,,2.04788,2.04788
2.08997,2.08997,,2.03898,2.03898
2.02908,2.02908,,2.08827,2.08827
2.12146,2.12146,,2.06548,2.06548
2.05376,2.05376,,2.05859,2.05859
2.06906,2.06906,,2.05615,2.05615
2.0261,2.0261,,2.02499,2.02499
2.055,2.055,,2.03621,2.03621
2.04644,2.04644,,2.028,2.028
2.03624,2.03624,,2.03977,2.03977
2.02936,2.02936,,2.04879,2.04879
2.02855,2.02855,,2.0305,2.0305
2.0331,2.0331,,2.04514,2.04514
2.05455,2.05455,,2.0286,2.0286
2.03832,2.03832,,2.06482,2.06482
2.03459,2.03459,,2.06054,2.06054
2.06522,2.06522,,2.3412,2.3412
2.08328,2.08328,,2.08615,2.08615
2.08218,2.08218,,2.11343,2.11343
2.09429,2.09429,,2.20455,2.20455
2.12867,2.12867,,2.08963,2.08963
2.0431,2.0431,,2.09125,2.09125
2.05829,2.05829,,2.22767,2.22767
2.28954,2.28954,,2.63277,2.63277
3.68383,3.68383,,4.46777,4.46777
4.22208,4.22208,,3.65202,3.65202
2.79821,2.79821,,2.44991,2.44991
2.22745,2.22745,,2.2987,2.2987
